CASENO,D,Document Name,DG_What is your ethnicity?::Hispanic or Latino,DG_What is your ethnicity?::Non-Hispanic or Latino,DG_What is your racial background?::American Indian or Alaska Native,DG_What is your racial background?::Asian,DG_What is your racial background?::Black or African American,DG_What is your racial background?::More than one race,DG_What is your racial background?::Native Hawaiian or Other Pacific Islander,DG_What is your racial background?::Other/I'll type it below,DG_What is your racial background?::White,DG_Which of the following most accurately describes you?You may choose more than one.::Female,DG_Which of the following most accurately describes you?You may choose more than one.::I prefer not to say,DG_Which of the following most accurately describes you?You may choose more than one.::I'll type it below,DG_Which of the following most accurately describes you?You may choose more than one.::Intersex,DG_Which of the following most accurately describes you?You may choose more than one.::Male,DG_Which of the following most accurately describes you?You may choose more than one.::Non-binary,Are you planning on going into a career in the geosciences after you graduate? Please explain.,Awareness of geoscience,Burnout,Career development activities,Connection/love of nature,Course selection,Covid-19 impacts,Cultural differences,Department academics,Department culture,Department funding,"Did you ever consider leaving your geoscience major? If so, why?","Did you switch from a different major into your geoscience major? If so, what was your original major and why did you choose geoscience?",Effective instruction,Encounters with ageism,Encounters with homophobia,Encounters with racism,Encounters with sexism,Engaging geoscience course content,Ethnic cultural values and socialization,Extracurricular activities,Family commitments,Family support,Field experiences,Fiscal abilities,Geoscience culture,Geoscience internships,Geoscience job market,Geoscience self-efficacy,Helping others,"If there are any other aspects of your identity you would like to share, please add it below:","If you would like to discuss any of your answers, you may do so below:",Imposter syndrome,Indigenous knowledge,Interest,Introductory Geoscience,Knowledge of geoscience careers,Lab/reading groups,Math self-efficacy,Mental health,Mentors,Outdoor experiences,Outdoors work,Peer support,Personal characteristics,Physical accessibility,Protecting the environment,Remote modality,Representation in faculty and staff,Required geoscience courses,Required STEM courses,Research experiences,Respect from professors,Role models,Salary,Sense of belonging,Sentiment: Negative,Sentiment: Positive,Teaching experiences,Travel,"Were there any important aspects of your experience as a geoscience major that were not listed above? If so, please describe them.",What was the main reason you chose your geoscience major?,You may also state your gender identity in your own words below:,You may also state your racial/ethnic identity in your own words below:
Q1_1,1,Case 1,no,yes,no,no,no,no,no,no,yes,yes,no,no,no,no,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Q1_2,1,Case 1,no,yes,no,no,no,no,no,no,yes,yes,no,no,no,no,no,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Q1_3,1,Case 1,no,yes,no,no,no,no,no,no,yes,yes,no,no,no,no,no,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1_4,1,Case 1,no,yes,no,no,no,no,no,no,yes,yes,no,no,no,no,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q2_1,2,Case 2,yes,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Q2_2,2,Case 2,yes,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Q2_3,2,Case 2,yes,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q2_4,2,Case 2,yes,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q2_5,2,Case 2,yes,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Q3_1,3,Case 3,no,yes,no,no,no,no,no,no,yes,yes,no,no,no,no,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
